GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2018;03404;Osnabrück, kreisfreie Stadt;2376;2096;2707;3444;2069;1892;7372;7977;6315;5146;4529;5223;6006;5342;4412;6379;6471;2265;2040;2578;3211;1953;2028;8550;7641;5790;5116;4492;5317;5952;5486;4797;7440;10336
31.12.2018;03405;Wilhelmshaven, kreisfreie Stadt;1060;920;1152;1514;989;796;2808;3249;2281;1929;1813;2203;2994;2867;2331;4207;4483;1007;874;1142;1420;925;781;2571;2370;2099;1791;1755;2157;3040;3005;2555;4800;6390
31.12.2018;03451;Ammerland, Landkreis;1713;1803;2282;3046;2119;1542;3297;3102;3334;3406;3408;4418;5409;4897;3937;6659;6286;1683;1621;2245;2911;1978;1321;2848;3180;3383;3508;3587;4557;5557;5089;4210;7225;8510
31.12.2018;03452;Aurich, Landkreis;2604;2530;3388;4688;3087;2312;5554;5479;5221;5038;5130;6814;8183;7564;6458;10971;8534;2416;2332;3192;4224;2985;2109;4950;4819;4910;5082;5106;7095;8353;7975;6961;11640;12144
31.12.2018;03453;Cloppenburg, Landkreis;2922;2801;3649;4945;3307;2433;5953;5992;5813;5461;5117;6030;7208;6589;5127;6733;5627;2825;2696;3486;4668;3034;2099;5246;5227;5068;5060;4845;5746;6773;6315;5190;6740;8623
31.12.2018;03454;Emsland, Landkreis;5057;4735;6277;8506;5580;4342;10426;11144;11109;10336;10283;12042;14310;12881;10680;15275;12801;4874;4516;5949;8059;5318;3646;8743;9318;9475;9484;9251;11267;13235;12395;10717;15637;17989
31.12.2018;03455;Friesland, Landkreis;1264;1277;1749;2234;1547;1176;2589;2454;2433;2339;2432;3277;4420;4023;3203;5856;5791;1231;1197;1563;2078;1446;1008;2198;2327;2452;2472;2582;3453;4606;4262;3449;6475;7597
31.12.2018;03456;Grafschaft Bentheim, Landkreis;2043;2047;2686;3578;2375;1681;4107;4146;4075;3945;3950;4810;6043;5641;4445;6777;5956;1908;1922;2556;3393;2180;1505;3506;3677;3811;3929;3802;4880;5993;5349;4476;6991;8328
31.12.2018;03457;Leer, Landkreis;2580;2365;3107;4130;2866;2099;5040;5185;5317;5136;4748;6156;7481;6642;5544;8938;7476;2348;2214;2994;4021;2704;1963;4468;4673;4657;4615;4608;6156;7212;6799;5783;9361;10423
31.12.2018;03458;Oldenburg, Landkreis;1895;1718;2467;3286;2262;1677;3660;3341;3448;3585;3707;4730;6308;5562;4359;6512;6057;1739;1744;2306;3015;2018;1462;3116;3027;3450;3631;3812;4993;6109;5661;4376;6887;8224
